user_uid,element_uid,rating
25141,2725,8
295749,747,10
472335,1376,10
135197,747,10
261093,3284,10
182101,5943,7
174096,4305,8
57296,270,10
282871,747,10
104174,3023,6
243039,747,10
55511,1375,9
145468,9369,9
544705,2270,8
241362,6752,10
240359,6530,7
394805,5077,8
395499,747,6
305445,4915,8
48678,3218,6
247724,5436,10
338714,1461,8
563156,747,10
16414,3185,10
534559,3830,10
233914,2714,10
527483,747,10
78270,4096,10
246223,6407,8
317434,2714,10
446150,8591,6
84091,5943,9
105555,7292,10
370076,2714,8
416932,2714,8
501142,2714,10
343693,6456,5
85801,2714,9
115402,3701,9
373720,747,7
521663,9920,9
281546,747,10
581139,2801,8
557894,4929,10
250961,747,9
159129,747,10
85593,747,8
327067,8075,7
154811,101,10
336133,747,10
40179,6551,10
95882,2714,7
443061,1461,5
303587,2949,9
361513,9066,10
509014,4874,6
34662,5441,8
57565,2714,10
167485,6551,8
59098,2022,4
266575,4683,6
457572,9662,8
201921,7200,9
399786,3861,9
272475,2714,9
341703,2714,9
473406,7166,10
472855,747,8
39441,2714,10
331027,747,8
128574,2714,8
59820,747,10
69263,747,10
290427,9356,7
578285,2714,10
256247,7166,9
398250,2714,8
216352,2921,8
182307,747,10
308161,747,10
548618,747,8
93275,96,8
591526,747,10
395059,6340,10
567127,2714,8
472909,747,10
44089,6500,10
58304,2714,10
568445,3105,8
511201,6456,10
501713,747,5
157909,2692,9
466548,1189,10
351409,5562,4
340843,6311,9
409445,2743,7
473285,2174,6
357063,747,10
393973,6456,8
114663,5542,8
537213,3701,10
92430,2714,9
76818,747,5
335358,2714,8
370295,2714,8
433123,2714,7
198634,5903,8
480594,3125,10
46874,747,10
221386,10104,8
282330,2022,6
518722,2714,9
378923,10170,10
530209,6164,10
283177,747,9
442444,747,8
206169,6043,10
251915,2714,10
473799,747,8
545673,2231,10
514960,1189,10
470671,2714,7
321236,747,10
91139,2028,10
352190,1881,2
529052,4096,8
577050,4743,9
554093,9766,8
282330,401,5
229145,9741,10
531837,9971,2
527647,747,10
311369,2803,8
330186,9176,9
549252,6340,10
200344,4491,10
100690,401,8
369466,1386,10
420867,747,10
488039,912,10
471435,8591,10
459740,2036,8
469363,6970,7
533936,6119,9
8805,747,10
57214,4207,3
243628,2714,10
9866,4965,10
76375,2714,8
471690,5943,10
61666,6119,10
498357,2714,8
56595,4579,7
386285,2714,10
376409,2882,8
191240,4491,10
261214,9484,10
310439,6112,6
401947,189,7
234904,4732,10
15412,747,10
264185,4160,9
525450,3218,6
404454,747,9
571519,747,8
361662,747,10
73917,4558,7
417386,4457,6
431250,9904,7
74940,4486,10
410782,4886,10
426576,5905,4
255318,747,4
447996,2714,10
507431,7174,5
6057,747,10
471778,747,10
92438,6374,8
155314,9741,10
465134,1557,10
93275,6043,9
8431,3861,10
548618,2714,9
328880,2921,5
100086,4118,10
354433,9741,8
145006,2714,10
389834,7845,6
469118,3861,10
67419,2714,10
219998,3414,3
319291,3223,10
445282,7492,7
124565,747,10
216377,218,7
433536,2714,10
301558,9185,10
238626,747,8
216918,2714,8
240696,6340,10
168255,4457,7
23856,2714,10
541331,3125,8
79039,2562,10
120598,9057,10
359975,747,8
279257,6854,10
261452,747,2
261452,4560,10
100210,325,10
306160,7200,10
76260,7143,8
505365,2714,9
174031,317,8
228130,3958,10
123573,10062,9
76861,8075,6
478871,396,5
132104,747,4
115860,747,10
121577,2714,10
141601,7644,10
161214,2714,9
40701,747,10
501527,1971,7
412396,40,6
29015,3109,10
157089,344,10
513235,747,10
448837,747,9
62332,10005,9
472525,401,9
537433,3150,8
92383,747,9
161214,747,10
190994,747,10
211901,6909,5
522645,2714,10
144767,747,10
490472,728,2
331244,6684,10
268312,747,10
434686,2714,9
519168,9766,8
315509,7131,8
388463,10170,6
18239,1358,4
552686,8822,10
389695,8163,9
441617,2714,10
78418,747,8
308405,9449,10
445378,2636,9
76219,2308,10
151723,2714,6
586434,5694,10
183323,747,10
131533,9265,10
114163,6812,8
119743,2714,10
133131,2714,10
266143,4103,10
190177,1375,9
419453,9597,10
522369,5667,6
7855,7026,10
339258,7415,2
62571,2714,7
439118,5407,10
64241,5903,10
204753,747,8
462651,747,10
541265,2714,9
296820,2714,8
441832,9300,8
438039,7834,8
205294,9356,6
511172,10139,8
57188,9392,8
199275,2714,9
548204,4187,10
413547,2714,8
55090,96,7
353388,5770,10
134984,1088,10
340843,4342,9
123573,4096,10
341412,2714,9
513846,5943,10
384889,9971,4
384889,8901,5
99914,3861,10
498459,2714,9
77626,2714,10
284034,2714,4
159297,9540,10
307904,5770,9
389796,747,8
77626,747,9
99914,6500,10
306373,4457,10
256247,747,6
425709,2308,8
283013,8200,10
105224,994,8
93613,9356,7
75845,5434,7
523624,5436,9
58129,747,4
429532,3218,8
375823,7987,10
85307,2174,9
548469,7002,8
245457,7271,10
379588,9540,9
518422,747,10
579263,7995,2
363587,5770,9
125306,747,7
351047,2953,9
172348,3903,10
76114,2714,6
56964,3258,9
340393,3218,10
330622,1436,4
427751,2714,9
389796,2714,8
303503,7609,10
16011,115,8
505267,2398,8
276149,218,8
568897,747,10
35062,1152,6
427751,747,9
398786,747,10
261976,747,10
146039,2725,10
567408,2725,8
462438,747,10
286819,7845,10
451307,747,8
327740,7015,10
218087,344,10
482768,6407,10
20915,7878,10
229011,4743,10
8392,96,7
475272,747,10
303509,4626,6
572505,7232,8
520876,9392,7
391213,747,7
536677,2714,10
52738,747,8
372106,2714,8
307097,5034,8
580789,6380,6
341141,2882,8
457514,747,6
499317,7395,6
197843,7632,9
239592,5903,8
365716,3861,9
6213,7174,9
4206,1557,10
255046,5770,10
541767,1375,9
412147,1189,4
293698,3438,10
576505,2714,8
228150,5694,8
533744,5542,9
577151,1385,10
424540,2714,10
502131,2714,10
131840,2911,4
39934,1385,9
491691,2231,10
433371,2714,8
11837,747,10
177351,4096,10
281145,9597,10
191093,2604,9
5175,747,8
305842,6380,5
228743,6043,10
502544,4321,10
274486,2714,10
551517,7423,2
365593,5441,10
309487,2714,10
177144,2714,9
98163,1077,7
474711,9898,8
493357,2714,8
351047,9353,9
133475,2714,10
327598,2714,10
269828,747,10
171195,4560,10
246678,4764,8
316052,2714,9
109559,7002,4
89605,2714,10
269828,2714,10
540874,747,10
166111,2270,9
206064,3206,10
206064,4743,10
523640,4481,10
566243,747,8
442071,2714,9
195138,747,10
292650,7337,2
241551,9014,7
41482,5988,10
13539,317,10
241421,631,6
583123,2714,9
324849,9898,10
422442,9685,8
353825,5441,10
256333,2714,6
374323,5863,7
287349,747,8
334221,8064,10
18327,747,8
490884,747,10
292089,1713,7
179358,9540,3
133592,3038,10
260119,8901,10
494047,747,10
337835,6591,8
155359,2714,10
387833,3038,6
209341,7811,7
209086,8563,10
458102,6119,10
511517,747,10
92676,4743,10
144422,5903,8
53138,747,10
444118,2714,8
436472,4833,8
35713,7423,8
151066,3218,8
179358,10078,10
51074,6340,10
266999,3125,4
198029,1086,10
546413,747,10
462633,747,10
190631,6164,10
484425,6730,10
316991,401,7
223963,1513,10
544748,7002,8
71440,325,9
452890,2714,10
57399,2714,10
393701,2714,8
322943,2714,10
524278,1385,10
316991,4457,3
574589,2714,10
51074,9844,10
135642,9794,10
472131,5837,6
302527,747,10
437892,4729,10
546946,747,10
278959,1385,10
194588,5441,10
503002,2801,8
334394,7834,2
242939,938,10
522693,2520,10
210157,8075,7
260719,7745,9
551217,8054,10
320216,747,4
155813,747,8
121858,2714,10
471350,4560,8
177703,6645,9
163391,4560,10
545549,2801,10
589088,747,8
411636,189,10
250417,2714,10
219830,9122,6
237194,2714,10
19050,9827,8
281628,1359,8
244049,325,10
542136,5562,8
257245,747,10
170028,9597,5
278546,5077,8
265783,2308,10
426049,7143,8
222705,2714,10
104689,2714,9
163510,747,10
150933,5988,4
422610,6682,10
55337,6084,10
396801,747,10
491819,1654,10
512486,2028,9
567127,747,10
278546,317,8
137985,2636,8
165778,747,10
176576,747,10
355897,7200,8
30891,2174,8
505267,9920,8
373225,2328,6
278546,6340,8
507140,3903,10
162374,4457,10
505267,640,10
493547,4874,2
302870,9300,4
583559,2714,8
461326,2428,7
270179,2714,8
115860,6164,4
60560,6380,10
470785,396,10
9201,401,8
267986,8258,7
438931,2714,7
16061,9898,7
578985,4735,9
480980,747,5
87574,9108,10
284733,747,6
399984,7247,6
539969,3258,10
539969,8804,10
72593,747,10
210099,2174,9
120654,6015,10
384666,7789,9
358092,5425,5
472396,3038,10
188902,4764,10
371604,5258,10
275873,919,6
309487,747,10
431719,7247,8
264566,8804,10
418727,747,10
91030,1405,8
118431,4874,6
118176,747,10
380421,40,10
292942,4118,8
201566,747,10
267410,5943,10
107319,747,10
479458,2428,8
53319,2714,9
306049,4183,10
121347,5436,5
478185,2714,9
261481,7374,8
137225,4457,8
557558,9538,4
324627,2714,8
527455,1713,10
10799,10170,8
407383,2714,8
357342,6812,6
45168,2995,4
481969,3406,8
181197,2565,8
459195,8200,10
492325,747,9
142686,2714,8
109791,2714,8
73563,2028,10
47070,747,8
508125,912,8
479433,7789,10
568931,5990,10
207782,2714,8
270303,4730,9
246352,747,7
234685,747,8
379023,747,10
553473,2231,9
459593,9486,8
41970,3958,10
225760,2160,10
306136,747,8
24304,2714,10
102613,7811,6
163183,2714,8
386773,2036,5
305774,6970,2
529502,4626,10
525542,3752,4
525542,6421,5
428283,747,9
974,3206,4
367368,747,10
480195,747,10
44268,4886,6
569582,9540,10
38262,5183,10
125828,747,8
415131,747,10
102613,2714,2
436472,2714,6
314712,747,10
333350,266,6
40521,7423,10
544748,4929,8
195155,6380,10
564301,7632,10
251078,2714,9
7557,4648,10
476747,747,9
138890,7025,8
165608,8200,10
582431,2714,8
37631,4510,7
130391,747,10
16209,747,8
444975,6846,7
93517,8163,8
505534,396,10
295756,3223,10
99914,4491,10
65212,2714,10
452304,7015,7
165916,747,9
470858,4579,9
83400,5441,7
553473,9369,9
271697,5441,10
439706,2714,10
276833,5988,10
158804,4328,10
250394,1385,4
270232,5679,10
24304,747,10
154935,1761,10
229680,2714,9
541127,1386,10
135542,4107,10
135542,5591,10
240089,4457,9
339038,747,10
510402,6676,2
165623,1947,10
60608,6970,2
219257,747,8
427181,4457,9
457026,2714,10
551338,2174,10
192115,2714,10
583912,9404,10
372734,7174,10
136558,747,10
512873,9322,9
274102,747,10
117465,7395,10
494209,9369,10
496155,2714,10
296527,2714,10
225093,2714,4
323750,1375,9
14285,4929,8
4514,9794,6
57089,5988,6
147402,4096,10
187981,6043,8
308952,9898,8
434091,2714,8
37631,2714,10
166392,10071,8
544714,40,10
242156,10194,7
159030,7374,8
300032,747,10
121294,8200,9
326832,2714,10
339804,10052,10
492220,4457,8
585593,5124,10
233856,1048,9
254480,5679,10
549100,1034,10
110476,747,10
234460,747,10
367700,6340,5
361116,5129,10
434144,2714,10
284467,4915,10
30253,747,9
7159,747,10
555271,2714,10
133400,9411,9
24073,1376,8
317657,2714,8
411670,747,9
343460,3206,8
335422,4481,6
567104,747,8
2394,7789,4
66300,747,8
391213,2714,9
188547,747,10
549575,2340,6
530028,4743,10
263807,2714,8
37631,747,10
193040,7609,10
159025,6047,10
384666,747,10
343504,9540,7
475699,2028,10
297857,1971,6
250790,5429,10
121613,65,9
132349,3701,10
253507,747,9
284573,9265,6
279286,747,9
357350,1654,8
436036,747,10
323000,747,9
134896,747,10
498672,747,8
92049,747,10
231421,2714,9
384971,747,10
51404,7374,6
220544,2714,8
155421,747,10
239262,218,8
509869,7015,10
169858,2028,8
117817,2622,2
512801,7200,8
462435,2997,9
481714,2714,9
471810,747,4
147990,4735,9
386019,747,10
511366,9014,7
401790,4118,4
237551,747,5
374561,7174,10
176875,747,8
368012,4735,10
124821,5837,4
248300,2714,10
264361,631,6
114754,4187,8
29213,5129,9
71440,4197,10
426127,8258,10
519305,4833,8
104526,747,10
141522,2714,7
283366,747,8
438141,6591,5
387217,7200,2
198997,747,10
143605,6286,4
233369,4648,8
127719,1761,10
497027,747,9
379023,5077,10
312980,7166,10
354036,10078,4
233369,270,9
41928,5441,10
99095,6970,7
538842,4915,10
257173,3206,8
451930,9597,10
478398,2714,10
434802,4648,8
330672,6043,8
490843,9057,6
473560,9185,10
398366,317,9
107888,2714,7
218813,747,10
448308,747,10
574149,7200,7
239474,631,8
175594,2714,8
174646,2714,8
203083,747,10
216214,5667,7
90775,1513,8
319040,9844,9
256612,2636,10
540217,9108,5
165150,9898,4
288901,747,4
406082,5258,8
107132,2714,10
116310,2714,9
168290,747,8
92868,1196,5
381049,7328,7
361342,2714,10
22629,7015,8
426202,1386,8
203926,2477,10
210228,747,10
239720,3958,10
422442,2844,7
166119,1086,8
307182,10183,9
208686,5903,8
271615,4510,7
208796,747,9
6542,2028,10
324965,7232,10
504945,40,4
20574,2882,9
236470,6119,10
307807,2714,8
367030,747,10
261846,4743,10
388628,9904,8
283681,6043,9
45402,747,10
8991,3752,10
558430,2714,10
331402,2636,8
377400,747,10
557533,401,10
477212,7789,7
35406,4579,8
147993,4401,9
349823,2714,10
449581,5863,8
51860,2714,9
499156,317,9
539949,6500,10
51039,747,10
43752,5129,10
497385,8907,8
425839,747,10
44387,1461,8
399553,2714,5
478871,5441,8
25860,747,7
198374,747,10
218217,7970,7
556692,9329,6
71590,3958,10
475668,2714,8
138849,7328,9
298997,6515,2
164164,5903,2
381741,4183,9
274829,6187,10
411546,3406,10
404038,2801,10
502732,4510,8
346975,2714,8
283995,747,10
54164,468,6
533558,6500,9
441054,6641,8
584571,8258,10
85887,2174,9
474002,2714,8
490967,2991,9
439861,2714,2
363692,2714,10
442027,747,10
278535,5738,10
59829,7025,10
287204,266,9
364215,2714,8
359363,2714,9
448463,8258,8
510402,1196,3
111580,40,8
79163,5675,10
185520,4764,10
367348,6164,10
191666,2714,6
568548,2217,7
394617,3218,10
4311,747,10
575274,344,10
75363,2714,6
103118,2714,8
568548,8117,8
354834,747,10
364034,4648,10
573064,747,8
291406,3232,5
406053,5990,9
6111,747,9
489227,4735,8
279819,747,10
108558,2714,10
236857,6047,9
133530,5441,9
464986,5441,9
580756,6591,10
424471,747,10
357207,4743,10
215311,6730,8
310470,2714,10
334829,4486,8
517408,2714,9
140638,1513,8
359838,2714,10
62218,2905,10
428283,2714,10
457514,8258,10
444188,5903,10
342189,2714,10
291359,5990,10
291486,747,8
182018,4648,9
124369,3284,10
399335,7995,6
450433,2714,10
92851,747,10
132192,2714,10
398896,4501,2
116235,8680,9
24124,2714,7
210934,747,8
28456,747,9
369704,747,9
384889,6956,4
498864,4648,10
262103,2714,8
135642,5442,10
179261,746,8
166556,5694,9
373225,7247,5
492220,7492,10
161076,5503,8
131613,1034,8
30084,7166,10
438826,6407,10
35406,7898,7
331924,2714,10
310470,747,5
75455,8200,5
99914,932,10
339987,2743,10
575919,9484,2
416932,747,10
416928,4457,8
228920,9898,6
102826,1048,10
265333,747,9
470508,8098,9
50138,2714,10
349218,2552,10
274382,396,10
515890,747,8
62261,747,10
67993,2882,10
210350,2436,10
294273,747,9
371690,5034,9
523640,1086,10
164906,1971,4
115852,2714,10
271616,6530,10
187340,6551,6
95081,2604,10
134224,10005,10
157998,7834,8
248217,4833,3
589324,4253,6
487734,2743,5
147718,2270,8
412396,2803,9
566676,8301,8
572503,9265,10
512774,6730,9
483352,2714,4
384889,3105,5
341159,2714,5
216656,4560,8
449101,5990,8
362814,747,10
167314,10109,8
223575,747,8
440286,2714,10
100738,6188,10
82966,1630,3
27665,3023,10
187345,2714,7
499898,1693,10
499898,2703,10
81052,2714,10
184011,7337,4
205238,9858,8
419427,2714,9
298657,8182,7
126645,2714,10
132060,4558,9
37650,3038,8
474236,4118,10
22884,2882,8
20533,2921,8
532453,2714,8
515078,4481,9
555739,747,10
82854,6970,6
445112,4401,2
464879,4481,7
193600,5503,8
306636,2743,10
22529,10183,6
99839,2714,7
336807,2036,6
172114,747,9
220601,2714,8
149339,7115,10
214558,3406,5
457905,2714,8
363051,2714,9
109089,2714,10
438122,2458,5
262200,2424,6
448994,4410,6
7793,7644,8
272133,2949,10
231948,2714,8
240898,4461,6
65727,2714,9
289652,747,10
285516,747,8
165871,747,10
407592,747,10
364801,747,10
140766,9016,8
397874,2714,8
213769,747,10
202432,747,7
3062,747,8
328880,7995,4
146965,2714,10
277642,2714,9
385972,989,10
22663,7641,9
67025,2714,2
67420,4401,8
131823,747,10
90560,747,10
287418,6500,10
436696,747,10
221776,266,9
120219,7602,8
460290,3406,5
223354,6591,9
271272,747,10
495853,747,10
433600,8182,10
448994,747,10
497624,2714,8
355478,747,9
272133,2725,10
205896,5352,10
152363,7834,10
485242,2714,10
556572,5129,8
385231,4096,10
478185,5679,9
193809,6015,8
492089,2714,9
497034,2036,8
395709,4657,7
544632,2725,7
3117,6164,10
117072,9971,4
374990,747,10
435104,7271,9
138600,2714,8
121617,4626,10
116235,9404,10
493789,7328,9
45835,747,10
189611,2714,10
12534,5863,6
546751,747,9
387067,747,9
143856,7200,9
123456,747,8
11075,1358,5
54971,9108,10
374042,6110,5
107806,2714,10
284256,8258,9
72801,6407,5
210683,747,8
451874,2714,10
508125,7428,6
75156,747,10
491028,747,9
120616,7391,8
392595,747,10
138181,747,10
103428,747,7
200669,2714,9
332752,96,7
161494,747,7
367923,5677,9
18051,747,10
591086,747,10
532165,2520,7
159784,747,10
500300,747,10
9325,747,10
112708,1513,10
55226,2428,8
96615,1196,10
571114,9369,6
87029,2714,8
286234,5441,10
93902,2714,4
246858,2714,10
4206,9920,10
502132,2714,4
368539,5903,10
242341,9685,7
85801,5007,10
398215,3903,10
300265,747,8
550849,2636,6
264603,747,9
450673,2714,8
519803,4321,10
